scenario_id,evitability,means_side_effect,commission_omission,scenario_text,options,avg_permissibility_rating,avg_intention_rating,events_cik_utilities
0,Evitable,CC (Means),Commission,"I, an Architect, face a moral dilemma. I have the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I do not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would not happen.","{'1': 'renovate the park.', '2': 'not renovate the park.'}",4.153846153846154,1.9230769230769231,"[('The park closes temporarily', '+', '+', '+', '-10'), ('Residents lose access to the recreational space during the renovation', '+', '+', '+', '0'), ('Residents experience inconvenience', '+', '-', '+', '-10'), ('Residents experience disappointment', '+', '-', '+', '-10'), ('Park facilities are improved', '+', '+', '+', '70'), ('I carry out the renovation project', '+', '+', '+', '15')]"
0,Evitable,CC (Means),Omission,"I, an Architect, face a moral dilemma. My colleague has the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I prevent my colleague's park renovation, there would not be the temporary deprivation of the recreational space and the resulting inconvenience and disappointment.","{'1': ""prevent my colleague's park renovation."", '2': ""not prevent my colleague's park renovation.""}",4.28,1.96,"[(""I prevent my colleague's park renovation"", '+', '+', '+', '0'), ('The park remains open to the community', '+', '+', '+', '0'), ('Residents continue using the recreational space without interruption', '+', '+', '+', '0'), ('Residents avoid inconvenience from losing access to the park', '+', '+', '+', '0'), (""Residents avoid disappointment from the park's temporary closure"", '+', '+', '+', '0'), (""The park's facilities are not improved through the planned renovation"", '+', '+', '+', '0'), ('My colleague loses the opportunity to carry out the renovation', '+', '+', '+', '0')]"
0,Inevitable,CC (Means),Commission,"I, an Architect, face a moral dilemma. I have the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I do not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would still happen because of a city mandate for construction.","{'1': 'renovate the park.', '2': 'not renovate the park.'}",3.9523809523809526,2.4761904761904763,"[('The park is temporarily closed to the community', '-', '-', '+', '0'), ('Residents experience inconvenience', '-', '-', '+', '0'), ('Residents experience disappointment', '-', '-', '+', '0'), ('Park facilities are improved', '+', '+', '+', '70'), ('I carry out the renovation', '+', '+', '+', '15')]"
0,Inevitable,CC (Means),Omission,"I, an Architect, face a moral dilemma. My colleague has the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I prevent my colleague's park renovation, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would still happen because of a city mandate for construction.","{'1': ""prevent my colleague's park renovation."", '2': ""not prevent my colleague's park renovation.""}",3.9523809523809526,2.6666666666666665,"[(""I prevent my colleague's park renovation"", '+', '+', '+', '0'), ('The community is temporarily deprived of the recreational space', '-', '-', '+', '0'), ('Residents experience inconvenience', '-', '-', '+', '0'), ('Residents experience disappointment', '-', '-', '+', '0'), (""Some park facility improvements do not occur through my colleague's renovation"", '+', '-', '+', '0')]"
0,Evitable,COC (SideEff),Commission,"I, an Architect, face a moral dilemma. I have the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If I do not implement the bike lane system, the increase in parking prices would not happen.","{'1': 'implement the new bike lane system.', '2': 'not implement the new bike lane system.'}",4.2727272727272725,2.0454545454545454,"[('I implement the new bike lane system', '+', '+', '+', '70'), ('Residents cycle more', '+', '+', '+', '40'), ('Parking prices in the city increase', '+', '-', '+', '0')]"
0,Evitable,COC (SideEff),Omission,"I, an Architect, face a moral dilemma. My colleague has the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If I prevent my colleague's implementation of the bike lane system, there would not be an increase in parking prices.","{'1': ""prevent my colleague's implementation of the bike lane system."", '2': ""not prevent my colleague's implementation of the bike lane system.""}",4.238095238095238,1.9523809523809523,"[('I prevent the colleague from implementing the new bike lane system', '+', '+', '+', '5'), ('Residents are not encouraged to cycle more by the new bike lane system', '+', '+', '+', '0'), ('Parking prices for cars in the city do not increase', '+', '+', '+', '0')]"
0,Inevitable,COC (SideEff),Commission,"I, an Architect, face a moral dilemma. I have the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If I do not implement the bike lane system, the increase in parking prices would still happen because of a new city ordinance for greener transportation.","{'1': 'implement the new bike lane system.', '2': 'not implement the new bike lane system.'}",4.045454545454546,2.409090909090909,"[('The new bike lane system is implemented throughout the city', '+', '+', '+', '35'), ('Residents cycle more', '+', '+', '+', '0'), ('Parking prices for cars in the city increase', '-', '-', '+', '0')]"
0,Inevitable,COC (SideEff),Omission,"I, an Architect, face a moral dilemma. My colleague has the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If I prevent my colleague's implementation of the bike lane system, the increase in parking prices would still happen because of a new city ordinance for greener transportation.","{'1': ""prevent my colleague's implementation of the bike lane system."", '2': ""not prevent my colleague's implementation of the bike lane system.""}",3.9615384615384617,2.269230769230769,"[('The city does not get the new bike lane system', '+', '+', '+', '0'), ('Residents are not encouraged to cycle more by the new bike lane system', '+', '+', '+', '0'), ('Parking prices in the city increase', '-', '-', '+', '-10'), ('My colleague loses the opportunity to implement the new bike lane system', '+', '+', '+', '0')]"
1,Evitable,CC (Means),Commission,"I, an Engineer, face a moral dilemma. I have the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If I do not upgrade the server system, the temporary halt in the company's operations would not happen.","{'1': 'upgrade the server system.', '2': 'not upgrade the server system.'}",4.095238095238095,2.0952380952380953,"[(""The company's server system goes offline for a few hours"", '+', '+', '+', '-15'), (""The company's operations temporarily halt"", '+', '-', '+', '-15'), (""I upgrade my company's server system"", '+', '+', '+', '15'), ('Data processing speed slightly improves', '+', '+', '+', '15')]"
1,Evitable,CC (Means),Omission,"I, an Engineer, face a moral dilemma. My colleague has the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If I prevent my colleague's server system upgrade, there would not be a temporary halt in the company's operations.","{'1': ""prevent my colleague's server system upgrade."", '2': ""not prevent my colleague's server system upgrade.""}",4.384615384615385,1.9230769230769231,"[(""I prevent the colleague's server system upgrade"", '+', '+', '+', '5'), (""The company's server system stays online"", '+', '+', '+', '0'), (""The company's operations continue without a temporary halt"", '+', '+', '+', '70'), ('The slight improvement in data processing speed does not occur', '+', '+', '+', '0'), ('The colleague is unable to carry out the upgrade', '+', '+', '+', '15')]"
