"","outcome_name","link_type","annot_links","p1","p2","p3","p4","p5","p6","p8","subj_mean","agreement_percentage","subj_se"
"1","I continue to provide financial support for living expenses.","Cause",1,0,1,1,0,1,1,1,0.714285714285714,0.714285714285714,0.199204768222399
"2","I continue to provide financial support for living expenses.","Intend",1,0,0,0,0,1,1,0,0.285714285714286,0.285714285714286,0.199204768222399
"3","I continue to provide financial support for living expenses.","Expect",1,0,0,1,1,1,1,1,0.714285714285714,0.714285714285714,0.199204768222399
"4","I continue to assist with transportation to school.","Cause",1,0,0,1,1,1,0,1,0.571428571428571,0.571428571428571,0.218217890235992
"5","I continue to assist with transportation to school.","Intend",1,0,0,0,0,1,1,1,0.428571428571429,0.428571428571429,0.218217890235992
"6","I continue to assist with transportation to school.","Expect",1,0,0,1,0,1,1,1,0.571428571428571,0.571428571428571,0.218217890235992
"7","I continue to do the majority of the cooking.","Cause",1,1,0,1,1,0,1,1,0.714285714285714,0.714285714285714,0.199204768222399
"8","I continue to do the majority of the cooking.","Intend",1,0,1,0,0,0,0,1,0.285714285714286,0.285714285714286,0.199204768222399
"9","I continue to do the majority of the cooking.","Expect",1,1,0,1,0,0,1,1,0.571428571428571,0.571428571428571,0.218217890235992
"10","My girlfriend continues to rely on me for support.","Cause",1,1,0,0,1,1,0,1,0.571428571428571,0.571428571428571,0.218217890235992
"11","My girlfriend continues to rely on me for support.","Intend",0,0,1,0,0,1,0,1,0.428571428571429,0.571428571428571,0.218217890235992
"12","My girlfriend continues to rely on me for support.","Expect",1,1,0,1,0,1,1,0,0.571428571428571,0.571428571428571,0.218217890235992
"13","My girlfriend may delay becoming fully independent.","Cause",1,1,1,1,1,0,0,1,0.714285714285714,0.714285714285714,0.199204768222399
"14","My girlfriend may delay becoming fully independent.","Intend",0,0,0,0,0,0,0,0,0,1,0
"15","My girlfriend may delay becoming fully independent.","Expect",1,0,0,1,0,1,1,1,0.571428571428571,0.571428571428571,0.218217890235992
"16","I may experience ongoing feelings of guilt.","Cause",1,0,0,1,1,1,1,1,0.714285714285714,0.714285714285714,0.199204768222399
"17","I may experience ongoing feelings of guilt.","Intend",0,0,0,0,0,1,0,1,0.285714285714286,0.714285714285714,0.199204768222399
"18","I may experience ongoing feelings of guilt.","Expect",1,0,0,1,0,1,0,1,0.428571428571429,0.428571428571429,0.218217890235992
"19","My girlfriend remains unaware of my true feelings.","Cause",1,1,0,0,1,1,0,1,0.571428571428571,0.571428571428571,0.218217890235992
"20","My girlfriend remains unaware of my true feelings.","Intend",0,0,1,0,0,1,1,1,0.571428571428571,0.428571428571429,0.218217890235992
"21","My girlfriend remains unaware of my true feelings.","Expect",1,1,0,1,0,1,0,1,0.571428571428571,0.571428571428571,0.218217890235992
"22","My relationship continues without a future commitment.","Cause",1,1,0,1,0,0,0,1,0.428571428571429,0.428571428571429,0.218217890235992
"23","My relationship continues without a future commitment.","Intend",0,0,0,1,0,1,1,1,0.571428571428571,0.428571428571429,0.218217890235992
"24","My relationship continues without a future commitment.","Expect",1,0,1,1,1,0,1,1,0.714285714285714,0.714285714285714,0.199204768222399
