"","outcome_name","link_type","annot_links","p1","p11","p3","p5","p6","p7","p8","subj_mean","agreement_percentage","subj_se"
"1","The dog receives some care and attention from me.","Cause",1,0,0,0,0,0,1,0,0.142857142857143,0.142857142857143,0.154303349962092
"2","The dog receives some care and attention from me.","Intend",1,0,0,1,1,0,1,1,0.571428571428571,0.571428571428571,0.218217890235992
"3","The dog receives some care and attention from me.","Expect",1,1,1,1,0,1,1,0,0.714285714285714,0.714285714285714,0.199204768222399
"4","The burden on my mother and younger sister may be slightly reduced.","Cause",1,0,0,0,0,1,1,0,0.285714285714286,0.285714285714286,0.199204768222399
"5","The burden on my mother and younger sister may be slightly reduced.","Intend",1,0,0,1,1,0,1,0,0.428571428571429,0.428571428571429,0.218217890235992
"6","The burden on my mother and younger sister may be slightly reduced.","Expect",1,1,1,1,0,0,1,1,0.714285714285714,0.714285714285714,0.199204768222399
"7","I experience stress and frustration due to the ongoing situation.","Cause",1,0,0,0,0,0,0,0,0,0,0
"8","I experience stress and frustration due to the ongoing situation.","Intend",0,0,0,0,0,0,0,0,0,1,0
"9","I experience stress and frustration due to the ongoing situation.","Expect",1,1,1,1,1,1,0,1,0.857142857142857,0.857142857142857,0.154303349962092
"10","The dog's living conditions may improve marginally.","Cause",1,0,0,1,0,1,0,1,0.428571428571429,0.428571428571429,0.218217890235992
"11","The dog's living conditions may improve marginally.","Intend",1,0,1,1,0,0,0,0,0.285714285714286,0.285714285714286,0.199204768222399
"12","The dog's living conditions may improve marginally.","Expect",1,1,0,1,1,0,0,0,0.428571428571429,0.428571428571429,0.218217890235992
"13","My relationship with my older sister may remain strained or worsen.","Cause",1,0,0,0,0,0,1,0,0.142857142857143,0.142857142857143,0.154303349962092
"14","My relationship with my older sister may remain strained or worsen.","Intend",0,0,0,0,0,0,1,0,0.142857142857143,0.857142857142857,0.154303349962092
"15","My relationship with my older sister may remain strained or worsen.","Expect",1,1,1,1,1,1,1,1,1,1,0
