"","annot_scores","p1","p11","p3","p5","p6","p7","p8","entity","outcome","subj_means","subj_se"
"1",20,-50,62,42,100,25,82,-48,"I","The dog receives some care and attention from me.",30.4285714285714,24.3126134877182
"2",0,100,-50,28,64,46,71,8,"older sister","The dog receives some care and attention from me.",38.1428571428571,20.0117029252449
"3",0,-100,7,31,67,25,-20,42,"mother","The dog receives some care and attention from me.",7.42857142857143,22.2995480059539
"4",0,-50,20,39,76,22,87,41,"younger sister","The dog receives some care and attention from me.",33.5714285714286,18.289124186031
"5",80,100,38,90,84,51,-100,47,"dog","The dog receives some care and attention from me.",44.2857142857143,27.7295613277342
"6",0,-50,40,16,84,-45,88,-42,"I","The burden on my mother and younger sister may be slightly reduced.",13,24.5865817062885
"7",0,100,0,0,53,29,-81,62,"older sister","The burden on my mother and younger sister may be slightly reduced.",23.2857142857143,23.7226032458899
"8",50,-100,57,47,98,66,88,35,"mother","The burden on my mother and younger sister may be slightly reduced.",41.5714285714286,27.0235053475644
"9",50,-50,62,54,100,64,87,52,"younger sister","The burden on my mother and younger sister may be slightly reduced.",52.7142857142857,19.8448346004057
"10",0,100,46,61,84,16,78,54,"dog","The burden on my mother and younger sister may be slightly reduced.",62.7142857142857,11.3252772487875
"11",-80,-100,-100,-77,-78,80,72,-55,"I","I experience stress and frustration due to the ongoing situation.",-36.8571428571429,32.1078292385627
"12",0,0,25,47,-28,-45,82,-62,"older sister","I experience stress and frustration due to the ongoing situation.",2.71428571428571,21.1866235127973
"13",0,-100,-58,-10,-49,-20,81,-54,"mother","I experience stress and frustration due to the ongoing situation.",-30,23.2390954117314
"14",0,-100,-62,-10,-35,-15,83,-54,"younger sister","I experience stress and frustration due to the ongoing situation.",-27.5714285714286,23.4980580082425
"15",0,0,35,-65,-27,-7,71,-50,"dog","I experience stress and frustration due to the ongoing situation.",-6.14285714285714,19.3684000535646
"16",0,-50,55,36,91,-36,59,62,"I","The dog's living conditions may improve marginally.",31,21.728117983643
"17",0,100,-38,25,69,43,90,49,"older sister","The dog's living conditions may improve marginally.",48.2857142857143,18.8999034179106
"18",0,-100,21,27,71,-33,-55,49,"mother","The dog's living conditions may improve marginally.",-2.85714285714286,25.0936341766289
"19",0,-50,37,26,65,-33,86,50,"younger sister","The dog's living conditions may improve marginally.",25.8571428571429,20.4632849695749
"20",50,100,46,71,86,60,96,78,"dog","The dog's living conditions may improve marginally.",76.7142857142857,7.91873406589394
"21",-50,-50,45,-61,5,-52,-95,-45,"I","My relationship with my older sister may remain strained or worsen.",-36.1428571428571,18.9156439832639
"22",-50,100,70,-67,4,-54,92,-47,"older sister","My relationship with my older sister may remain strained or worsen.",14,29.637626235731
"23",-30,-100,24,-28,5,-31,-71,-46,"mother","My relationship with my older sister may remain strained or worsen.",-35.2857142857143,17.3104244214518
"24",-20,-50,37,0,5,-20,-48,-49,"younger sister","My relationship with my older sister may remain strained or worsen.",-17.8571428571429,13.7101514932642
"25",0,100,-44,0,4,0,100,-48,"dog","My relationship with my older sister may remain strained or worsen.",16,24.9799919935936
