"","annot_scores","p1","p2","p3","p4","p6","p7","p8","p9","entity","outcome","subj_means","subj_se"
"1",-80,-100,-18,-63,-81,51,-80,-80,-100,"I","My financial strain may increase.",-58.875,19.4437309554876
"2",-30,-68,100,-32,-20,92,80,60,100,"our son","My financial strain may increase.",39,25.6920538815615
"3",-20,0,100,-8,32,95,90,60,100,"she","My financial strain may increase.",58.625,17.0939033170381
"4",50,86,100,42,45,100,69,60,55,"I","My relationship with my ex-partner may improve.",69.625,8.79456580821942
"5",20,100,100,78,85,100,90,100,100,"our son","My relationship with my ex-partner may improve.",94.125,3.29772648956823
"6",50,85,100,51,13,100,69,42,100,"she","My relationship with my ex-partner may improve.",70,12.2224283635471
"7",80,100,100,20,20,100,10,40,20,"I","My son may be able to attend the summer camp for kids with epilepsy.",51.25,15.5756874909689
"8",90,100,100,70,86,58,90,87,100,"our son","My son may be able to attend the summer camp for kids with epilepsy.",86.375,5.79210405532869
"9",0,100,100,43,73,100,20,40,20,"she","My son may be able to attend the summer camp for kids with epilepsy.",62,13.4209704932092
"10",0,0,100,4,-45,97,5,-40,0,"I","My ex-partner may experience reduced financial stress.",15.125,20.822316815163
"11",0,100,100,45,100,100,70,0,30,"our son","My ex-partner may experience reduced financial stress.",68.125,14.7750997095983
"12",100,100,100,93,93,95,95,60,100,"she","My ex-partner may experience reduced financial stress.",92,5.0223988089277
"13",50,100,70,63,61,62,30,-20,100,"I","My involvement in my son's medical decisions may increase.",58.25,14.7007566097109
"14",0,100,100,75,36,0,20,0,100,"our son","My involvement in my son's medical decisions may increase.",53.875,16.9638721754107
"15",-30,100,64,59,40,64,10,60,100,"she","My involvement in my son's medical decisions may increase.",62.125,11.1546412048153
