table_id,original_scenario_id,severity,evitability,causal,choice,c_plus_pct,i_plus_pct,num_events,condition
1,0,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_action_yes_stories
2,0,Mild,Evitable,CC,2,100.00,50.00,4,cc_evitable_action_yes_stories
3,1,Mild,Evitable,CC,1,0.00,0.00,0,cc_evitable_action_yes_stories
4,1,Mild,Evitable,CC,2,0.00,0.00,0,cc_evitable_action_yes_stories
5,2,Mild,Evitable,CC,1,100.00,83.33,6,cc_evitable_action_yes_stories
6,2,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_action_yes_stories
7,3,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
8,3,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_action_yes_stories
9,4,Mild,Evitable,CC,1,100.00,100.00,3,cc_evitable_action_yes_stories
10,4,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_action_yes_stories
11,5,Mild,Evitable,CC,1,100.00,100.00,7,cc_evitable_action_yes_stories
12,5,Mild,Evitable,CC,2,0.00,0.00,0,cc_evitable_action_yes_stories
13,6,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
14,6,Mild,Evitable,CC,2,100.00,75.00,4,cc_evitable_action_yes_stories
15,7,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
16,7,Mild,Evitable,CC,2,100.00,80.00,5,cc_evitable_action_yes_stories
17,8,Mild,Evitable,CC,1,0.00,0.00,0,cc_evitable_action_yes_stories
18,8,Mild,Evitable,CC,2,0.00,0.00,0,cc_evitable_action_yes_stories
19,9,Mild,Evitable,CC,1,0.00,0.00,0,cc_evitable_action_yes_stories
20,9,Mild,Evitable,CC,2,0.00,0.00,0,cc_evitable_action_yes_stories
21,10,Mild,Evitable,CC,1,100.00,100.00,2,cc_evitable_action_yes_stories
22,10,Mild,Evitable,CC,2,100.00,100.00,2,cc_evitable_action_yes_stories
23,11,Mild,Evitable,CC,1,0.00,0.00,0,cc_evitable_action_yes_stories
24,11,Mild,Evitable,CC,2,0.00,0.00,0,cc_evitable_action_yes_stories
25,12,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_action_yes_stories
26,12,Mild,Evitable,CC,2,75.00,100.00,4,cc_evitable_action_yes_stories
27,13,Mild,Evitable,CC,1,0.00,0.00,0,cc_evitable_action_yes_stories
28,13,Mild,Evitable,CC,2,0.00,0.00,0,cc_evitable_action_yes_stories
29,14,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_action_yes_stories
30,14,Mild,Evitable,CC,2,80.00,40.00,5,cc_evitable_action_yes_stories
31,15,Mild,Evitable,CC,1,100.00,75.00,4,cc_evitable_action_yes_stories
32,15,Mild,Evitable,CC,2,100.00,50.00,4,cc_evitable_action_yes_stories
33,16,Mild,Evitable,CC,1,100.00,75.00,4,cc_evitable_action_yes_stories
34,16,Mild,Evitable,CC,2,100.00,60.00,5,cc_evitable_action_yes_stories
35,17,Mild,Evitable,CC,1,100.00,75.00,4,cc_evitable_action_yes_stories
36,17,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_action_yes_stories
37,18,Mild,Evitable,CC,1,100.00,75.00,4,cc_evitable_action_yes_stories
38,18,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_action_yes_stories
39,19,Mild,Evitable,CC,1,100.00,80.00,5,cc_evitable_action_yes_stories
40,19,Mild,Evitable,CC,2,100.00,50.00,6,cc_evitable_action_yes_stories
41,20,Mild,Evitable,CC,1,100.00,100.00,3,cc_evitable_action_yes_stories
42,20,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_action_yes_stories
43,21,Mild,Evitable,CC,1,0.00,0.00,0,cc_evitable_action_yes_stories
44,21,Mild,Evitable,CC,2,0.00,0.00,0,cc_evitable_action_yes_stories
45,22,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
46,22,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_action_yes_stories
47,23,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_action_yes_stories
48,23,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_action_yes_stories
49,24,Mild,Evitable,CC,1,100.00,83.33,6,cc_evitable_action_yes_stories
50,24,Mild,Evitable,CC,2,100.00,80.00,5,cc_evitable_action_yes_stories
51,25,Mild,Evitable,CC,1,100.00,80.00,5,cc_evitable_action_yes_stories
52,25,Mild,Evitable,CC,2,100.00,40.00,5,cc_evitable_action_yes_stories
53,26,Mild,Evitable,CC,1,100.00,100.00,8,cc_evitable_action_yes_stories
54,26,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_action_yes_stories
55,27,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
56,27,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_action_yes_stories
57,28,Mild,Evitable,CC,1,100.00,75.00,4,cc_evitable_action_yes_stories
58,28,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_action_yes_stories
59,29,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
60,29,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_action_yes_stories
61,0,Mild,Evitable,CC,1,100.00,80.00,5,cc_evitable_prevention_no_stories
62,0,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
63,1,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_prevention_no_stories
64,1,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
65,2,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_prevention_no_stories
66,2,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
67,3,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_prevention_no_stories
68,3,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_prevention_no_stories
69,4,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_prevention_no_stories
70,4,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
71,5,Mild,Evitable,CC,1,100.00,100.00,7,cc_evitable_prevention_no_stories
72,5,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
73,6,Mild,Evitable,CC,1,100.00,85.71,7,cc_evitable_prevention_no_stories
74,6,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_prevention_no_stories
75,7,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_prevention_no_stories
76,7,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
77,8,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_prevention_no_stories
78,8,Mild,Evitable,CC,2,100.00,80.00,5,cc_evitable_prevention_no_stories
79,9,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_prevention_no_stories
80,9,Mild,Evitable,CC,2,100.00,83.33,6,cc_evitable_prevention_no_stories
81,10,Mild,Evitable,CC,1,100.00,66.67,3,cc_evitable_prevention_no_stories
82,10,Mild,Evitable,CC,2,100.00,75.00,4,cc_evitable_prevention_no_stories
83,11,Mild,Evitable,CC,1,100.00,75.00,4,cc_evitable_prevention_no_stories
84,11,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
85,12,Mild,Evitable,CC,1,100.00,83.33,6,cc_evitable_prevention_no_stories
86,12,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
87,13,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_prevention_no_stories
88,13,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
89,14,Mild,Evitable,CC,1,100.00,66.67,6,cc_evitable_prevention_no_stories
90,14,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_prevention_no_stories
91,15,Mild,Evitable,CC,1,100.00,75.00,4,cc_evitable_prevention_no_stories
