table_id,original_scenario_id,severity,evitability,causal,choice,c_plus_pct,i_plus_pct,num_events,condition
0,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
2,Mild,Evitable,CC,1,100.00,100.00,2,cc_evitable_action_yes_stories
3,Mild,Evitable,CC,1,100.00,100.00,3,cc_evitable_action_yes_stories
4,Mild,Evitable,CC,1,100.00,100.00,2,cc_evitable_action_yes_stories
5,Mild,Evitable,CC,1,100.00,100.00,3,cc_evitable_action_yes_stories
6,Mild,Evitable,CC,1,100.00,100.00,3,cc_evitable_action_yes_stories
7,Mild,Evitable,CC,1,100.00,100.00,2,cc_evitable_action_yes_stories
10,Mild,Evitable,CC,1,100.00,100.00,2,cc_evitable_action_yes_stories
12,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
14,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
15,Mild,Evitable,CC,1,100.00,66.67,3,cc_evitable_action_yes_stories
16,Mild,Evitable,CC,1,100.00,50.00,2,cc_evitable_action_yes_stories
17,Mild,Evitable,CC,1,100.00,66.67,3,cc_evitable_action_yes_stories
18,Mild,Evitable,CC,1,100.00,50.00,2,cc_evitable_action_yes_stories
19,Mild,Evitable,CC,1,100.00,50.00,2,cc_evitable_action_yes_stories
20,Mild,Evitable,CC,1,100.00,100.00,2,cc_evitable_action_yes_stories
22,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
23,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_action_yes_stories
24,Mild,Evitable,CC,1,100.00,50.00,2,cc_evitable_action_yes_stories
25,Mild,Evitable,CC,1,100.00,50.00,2,cc_evitable_action_yes_stories
26,Mild,Evitable,CC,1,100.00,100.00,8,cc_evitable_action_yes_stories
27,Mild,Evitable,CC,1,100.00,100.00,3,cc_evitable_action_yes_stories
28,Mild,Evitable,CC,1,100.00,50.00,2,cc_evitable_action_yes_stories
29,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
0,Mild,Evitable,CC,1,100.00,66.67,3,cc_evitable_prevention_no_stories
1,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_prevention_no_stories
2,Mild,Evitable,CC,1,100.00,100.00,3,cc_evitable_prevention_no_stories
5,Mild,Evitable,CC,1,100.00,100.00,7,cc_evitable_prevention_no_stories
6,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_prevention_no_stories
8,Mild,Evitable,CC,1,100.00,100.00,2,cc_evitable_prevention_no_stories
9,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_prevention_no_stories
11,Mild,Evitable,CC,1,100.00,75.00,4,cc_evitable_prevention_no_stories
12,Mild,Evitable,CC,1,100.00,80.00,5,cc_evitable_prevention_no_stories
13,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_prevention_no_stories
14,Mild,Evitable,CC,1,100.00,66.67,6,cc_evitable_prevention_no_stories
16,Mild,Evitable,CC,1,100.00,50.00,4,cc_evitable_prevention_no_stories
18,Mild,Evitable,CC,1,100.00,0.00,1,cc_evitable_prevention_no_stories
19,Mild,Evitable,CC,1,50.00,0.00,2,cc_evitable_prevention_no_stories
20,Mild,Evitable,CC,1,100.00,100.00,3,cc_evitable_prevention_no_stories
21,Mild,Evitable,CC,1,100.00,80.00,5,cc_evitable_prevention_no_stories
24,Mild,Evitable,CC,1,100.00,0.00,1,cc_evitable_prevention_no_stories
28,Mild,Evitable,CC,1,100.00,100.00,3,cc_evitable_prevention_no_stories
29,Mild,Evitable,CC,1,100.00,0.00,1,cc_evitable_prevention_no_stories
0,Mild,Inevitable,CC,1,25.00,50.00,4,cc_inevitable_action_yes_stories
2,Mild,Inevitable,CC,1,0.00,50.00,2,cc_inevitable_action_yes_stories
3,Mild,Inevitable,CC,1,0.00,0.00,2,cc_inevitable_action_yes_stories
4,Mild,Inevitable,CC,1,33.33,100.00,3,cc_inevitable_action_yes_stories
6,Mild,Inevitable,CC,1,100.00,0.00,1,cc_inevitable_action_yes_stories
7,Mild,Inevitable,CC,1,0.00,50.00,2,cc_inevitable_action_yes_stories
10,Mild,Inevitable,CC,1,0.00,50.00,2,cc_inevitable_action_yes_stories
12,Mild,Inevitable,CC,1,25.00,50.00,4,cc_inevitable_action_yes_stories
