"","annot_scores","p1","p2","p3","p4","p5","p6","p8","entity","outcome","subj_means","subj_se"
"1",-30,-100,61,-42,-100,-100,-34,-20,"I","I continue to provide financial support for living expenses.",-47.8571428571429,24.1573873810759
"2",80,100,42,63,100,100,74,75,"my girlfriend","I continue to provide financial support for living expenses.",79.1428571428571,9.11174020282677
"3",20,-100,46,-25,-100,-70,-33,-30,"I","I continue to assist with transportation to school.",-44.5714285714286,20.8990392427461
"4",0,100,24,27,100,-74,69,75,"my girlfriend","I continue to assist with transportation to school.",45.8571428571429,24.9704587367515
"5",-30,-64,-53,-25,-80,26,-49,-50,"I","I continue to do the majority of the cooking.",-42.1428571428571,14.0186950007413
"6",50,82,-85,0,100,-40,77,75,"my girlfriend","I continue to do the majority of the cooking.",29.8571428571429,29.279712896502
"7",0,-100,62,-31,-100,-13,-43,-20,"I","My girlfriend continues to rely on me for support.",-35,22.7596133534821
"8",50,100,64,49,100,-15,62,60,"my girlfriend","My girlfriend continues to rely on me for support.",60,15.7814940850211
"9",0,-80,-100,-100,-100,-34,-53,0,"I","My girlfriend may delay becoming fully independent.",-66.7142857142857,15.9942946176898
"10",-20,36,-100,-100,-100,-36,-20,-40,"my girlfriend","My girlfriend may delay becoming fully independent.",-51.4285714285714,21.1329878295326
"11",-80,-100,100,-100,-100,-100,-64,-80,"I","I may experience ongoing feelings of guilt.",-63.4285714285714,29.9692964575202
"12",0,17,100,0,0,-74,-16,-50,"my girlfriend","I may experience ongoing feelings of guilt.",-3.28571428571429,22.6356580614087
"13",-50,-100,-100,-57,-80,-82,-71,-20,"I","My girlfriend remains unaware of my true feelings.",-72.8571428571429,11.3735281622346
"14",0,-100,-96,-20,-92,-81,37,-70,"my girlfriend","My girlfriend remains unaware of my true feelings.",-60.2857142857143,20.7293595946992
"15",0,-75,76,-98,100,-29,-45,-20,"I","My relationship continues without a future commitment.",-13,30.3168453357389
"16",0,64,82,-87,-90,-49,-64,-80,"my girlfriend","My relationship continues without a future commitment.",-32,29.9156220801849
