"","outcome_name","link_type","annot_links","p1","p10","p2","p3","p4","p5","p6","p9","subj_mean","agreement_percentage","subj_se"
"1","My sister may feel confronted or defensive about the demand to give up the dog.","Cause",1,0,1,1,0,0,1,1,1,0.625,0.625,0.195615199108988
"2","My sister may feel confronted or defensive about the demand to give up the dog.","Intend",1,0,0,0,1,0,0,0,1,0.25,0.25,0.174963553055941
"3","My sister may feel confronted or defensive about the demand to give up the dog.","Expect",1,1,1,1,0,1,0,1,1,0.75,0.75,0.174963553055941
"4","My mother and younger sister might feel relieved or supported by my decision to address the issue.","Cause",1,1,1,1,1,0,1,1,1,0.875,0.875,0.133630620956212
"5","My mother and younger sister might feel relieved or supported by my decision to address the issue.","Intend",1,1,1,0,1,1,0,1,1,0.75,0.75,0.174963553055941
"6","My mother and younger sister might feel relieved or supported by my decision to address the issue.","Expect",1,1,1,1,0,0,0,1,1,0.625,0.625,0.195615199108988
"7","The dog might be given up for adoption and potentially find a more suitable and caring home.","Cause",1,0,0,1,0,1,1,1,1,0.625,0.625,0.195615199108988
"8","The dog might be given up for adoption and potentially find a more suitable and caring home.","Intend",1,1,0,1,1,1,1,1,1,0.875,0.875,0.133630620956212
"9","The dog might be given up for adoption and potentially find a more suitable and caring home.","Expect",1,1,1,1,0,0,1,1,1,0.75,0.75,0.174963553055941
"10","My relationship with my older sister could become more strained due to the demand.","Cause",1,0,1,1,1,0,1,1,1,0.75,0.75,0.174963553055941
"11","My relationship with my older sister could become more strained due to the demand.","Intend",0,0,0,0,0,0,0,0,0,0,1,0
"12","My relationship with my older sister could become more strained due to the demand.","Expect",1,1,1,1,0,1,0,0,1,0.625,0.625,0.195615199108988
"13","The family dynamic might experience tension as the discussion about the dog's future unfolds.","Cause",1,0,1,1,1,0,1,1,1,0.75,0.75,0.174963553055941
"14","The family dynamic might experience tension as the discussion about the dog's future unfolds.","Intend",1,0,0,0,1,0,0,0,0,0.125,0.125,0.133630620956212
"15","The family dynamic might experience tension as the discussion about the dog's future unfolds.","Expect",1,1,1,1,0,1,0,0,1,0.625,0.625,0.195615199108988
"16","If the dog is adopted by a new owner, the living conditions in my home may improve.","Cause",1,0,0,1,1,0,1,1,0,0.5,0.5,0.202030508910442
"17","If the dog is adopted by a new owner, the living conditions in my home may improve.","Intend",1,1,0,1,1,0,0,1,0,0.5,0.5,0.202030508910442
"18","If the dog is adopted by a new owner, the living conditions in my home may improve.","Expect",1,1,1,1,0,1,0,1,0,0.625,0.625,0.195615199108988
"19","I might feel a sense of relief or guilt, depending on the outcome of the situation.","Cause",0,1,0,1,0,0,1,1,1,0.625,0.375,0.195615199108988
"20","I might feel a sense of relief or guilt, depending on the outcome of the situation.","Intend",0,1,0,1,0,0,0,0,1,0.375,0.625,0.195615199108988
"21","I might feel a sense of relief or guilt, depending on the outcome of the situation.","Expect",1,1,1,1,1,1,0,0,1,0.75,0.75,0.174963553055941
