"","annot_scores","p1","p10","p2","p3","p4","p5","p6","p7","p8","entity","outcome","subj_means","subj_se"
"1",80,100,100,38,100,100,100,100,100,100,"I","I arrive on time for my first day of work.",93.1111111111111,7.30677007226099
"2",0,0,0,0,-55,-100,-100,-58,-79,-100,"someone on a bike","I arrive on time for my first day of work.",-54.6666666666667,15.679405282089
"3",70,100,15,65,100,100,100,100,100,100,"my boss","I arrive on time for my first day of work.",86.6666666666667,10.3455908482793
"4",50,100,100,18,18,94,100,100,100,0,"I","I avoid potentially upsetting my boss by being late.",70,15.5040317337137
"5",0,-100,0,0,0,0,-100,-100,0,-100,"someone on a bike","I avoid potentially upsetting my boss by being late.",-44.4444444444444,18.6338998124982
"6",20,100,0,0,27,96,100,100,100,100,"my boss","I avoid potentially upsetting my boss by being late.",69.2222222222222,16.2112786527021
"7",0,0,0,0,0,50,35,-43,-49,-80,"I","The person who crashed may not receive immediate assistance from me.",-9.66666666666667,14.5419651354279
"8",-100,-100,-81,-100,-75,-100,-100,5,-100,-100,"someone on a bike","The person who crashed may not receive immediate assistance from me.",-83.4444444444444,12.2118169091345
"9",0,100,0,30,0,0,80,100,0,0,"my boss","The person who crashed may not receive immediate assistance from me.",34.4444444444444,16.1158996715114
"10",-50,100,-53,-24,-76,-20,-100,-65,-100,-100,"I","I may experience feelings of guilt or regret for not stopping to help.",-48.6666666666667,22.5242924417172
"11",0,0,31,0,-81,-100,0,-65,-100,-100,"someone on a bike","I may experience feelings of guilt or regret for not stopping to help.",-46.1111111111111,18.7961469160275
"12",0,-100,0,0,16,0,0,2,0,0,"my boss","I may experience feelings of guilt or regret for not stopping to help.",-9.11111111111111,12.1917549552511
"13",80,100,82,66,100,100,100,93,100,80,"I","My relationship with my boss starts without the strain of being late on the first day.",91.2222222222222,4.39380877548802
"14",0,0,0,0,0,0,0,-3,-3,-100,"someone on a bike","My relationship with my boss starts without the strain of being late on the first day.",-11.7777777777778,11.7057381465483
"15",50,100,0,65,100,71,100,100,82,100,"my boss","My relationship with my boss starts without the strain of being late on the first day.",79.7777777777778,11.6656249534929
